title,viewCount,subscriberCount,videoCount,createdAt,YoutubeChannel,LastestVideoUrl,ScrapingDate,ScrapingTimestamp,AverageViewsPerVideo,YearsSinceCreation,CustomClusterNbOfViews,CoverImageUrl,LastestVideoUrlEmbeded,HasNewVideoSinceLastScraping,PreviousScrapingDate,LastScrapingDate,isLastScraping,viewsCount_360_Days_Ago,Date_reference_360_Days_Ago,viewsGapTo_360_Days_Ago,viewsGrowthPercentage_360_Days_Ago,viewsCount_180_Days_Ago,Date_reference_180_Days_Ago,viewsGapTo_180_Days_Ago,viewsGrowthPercentage_180_Days_Ago,viewsCount_90_Days_Ago,Date_reference_90_Days_Ago,viewsGapTo_90_Days_Ago,viewsGrowthPercentage_90_Days_Ago,viewsCount_30_Days_Ago,Date_reference_30_Days_Ago,viewsGapTo_30_Days_Ago,viewsGrowthPercentage_30_Days_Ago,viewsCount_15_Days_Ago,Date_reference_15_Days_Ago,viewsGapTo_15_Days_Ago,viewsGrowthPercentage_15_Days_Ago,viewsCount_7_Days_Ago,Date_reference_7_Days_Ago,viewsGapTo_7_Days_Ago,viewsGrowthPercentage_7_Days_Ago
2Two,20768393,234000,41,2016-02-01,,,2023-05-01,2023-05-01 21:17:39,506546,7.24,5-Popular (reached 1 M views),,,False,NaT,NaT,False,,NaT,,,,NaT,,,,NaT,,,,NaT,,,,NaT,,,,NaT,,
2Two,22154010,242000,53,2016-02-01,https://www.youtube.com/channel/UC7S97iruRzmdXHARY6iXqDQ,,2024-02-11,2024-02-11 21:17:39,418000,8.03,5-Popular (reached 1 M views),,,False,NaT,NaT,False,,NaT,,,,NaT,,,,NaT,,,,NaT,,,,NaT,,,,NaT,,
2Two,22154010,242000,54,2016-02-01,https://www.youtube.com/channel/UC7S97iruRzmdXHARY6iXqDQ,https://www.youtube.com/watch?v=eZahtFe8YYo,2024-02-26,2024-02-26 21:54:18,410259,8.07,5-Popular (reached 1 M views),,,False,NaT,NaT,False,,NaT,,,,NaT,,,,NaT,,,,NaT,,,,NaT,,,,NaT,,
2Two,22154010,242000,54,2016-02-01,https://www.youtube.com/channel/UC7S97iruRzmdXHARY6iXqDQ,https://www.youtube.com/watch?v=eZahtFe8YYo,2024-02-27,2024-02-27 19:46:08,410259,8.07,5-Popular (reached 1 M views),https://yt3.ggpht.com/XfugMDEY9xjdbgXS6wsOm526KbPyIvrx12X6XopDV_CQWGDIUt_lhk3K1-X1xLOTGlmSV_wA=s800-c-k-c0x00ffffff-no-nd-rj,,False,NaT,NaT,False,,NaT,,,,NaT,,,,NaT,,,,NaT,,,,NaT,,,,NaT,,
2Two,22154010,242000,52,2016-02-01,https://www.youtube.com/channel/UC7S97iruRzmdXHARY6iXqDQ,https://www.youtube.com/watch?v=eZahtFe8YYo,2024-03-06,2024-03-06 21:43:48,426038,8.1,5-Popular (reached 1 M views),https://yt3.ggpht.com/XfugMDEY9xjdbgXS6wsOm526KbPyIvrx12X6XopDV_CQWGDIUt_lhk3K1-X1xLOTGlmSV_wA=s800-c-k-c0x00ffffff-no-nd-rj,https://www.youtube.com/embed/eZahtFe8YYo,False,NaT,NaT,False,,NaT,,,,NaT,,,,NaT,,,,NaT,,,,NaT,,,,NaT,,
2Two,22154010,242000,52,2016-02-01,https://www.youtube.com/channel/UC7S97iruRzmdXHARY6iXqDQ,https://www.youtube.com/watch?v=eZahtFe8YYo,2024-04-21,2024-04-21 13:26:06,426038,8.22,5-Popular (reached 1 M views),https://yt3.ggpht.com/XfugMDEY9xjdbgXS6wsOm526KbPyIvrx12X6XopDV_CQWGDIUt_lhk3K1-X1xLOTGlmSV_wA=s800-c-k-c0x00ffffff-no-nd-rj,https://www.youtube.com/embed/eZahtFe8YYo,False,NaT,NaT,False,,NaT,,,,NaT,,,,NaT,,,,NaT,,,,NaT,,,,NaT,,
2Two,22154010,242000,52,2016-02-01,https://www.youtube.com/channel/UC7S97iruRzmdXHARY6iXqDQ,https://www.youtube.com/watch?v=eZahtFe8YYo,2024-05-01,2024-05-01 12:30:38,426038,8.25,5-Popular (reached 1 M views),https://yt3.ggpht.com/XfugMDEY9xjdbgXS6wsOm526KbPyIvrx12X6XopDV_CQWGDIUt_lhk3K1-X1xLOTGlmSV_wA=s800-c-k-c0x00ffffff-no-nd-rj,https://www.youtube.com/embed/eZahtFe8YYo,False,2024-04-21,2024-05-01,True,20768393.0,2023-05-01,1385617.0,6.67,,NaT,,,,NaT,,,,NaT,,,,NaT,,,22154010.0,2024-04-21,0.0,0.0
4LFA,56693212,354000,44,2018-01-07,,,2023-05-01,2023-05-01 21:17:39,1288482,5.31,4-Very popular (reached 50 M views),,,False,NaT,NaT,False,,NaT,,,,NaT,,,,NaT,,,,NaT,,,,NaT,,,,NaT,,
4LFA,61757014,368000,48,2018-01-07,https://www.youtube.com/channel/UCyspqvfIMfwofk2MpBK9PEg,,2024-02-11,2024-02-11 21:17:39,1286604,6.1,4-Very popular (reached 50 M views),,,False,NaT,NaT,False,,NaT,,,,NaT,,,,NaT,,,,NaT,,,,NaT,,,,NaT,,
4LFA,62398901,371000,49,2018-01-07,https://www.youtube.com/channel/UCyspqvfIMfwofk2MpBK9PEg,https://www.youtube.com/watch?v=ttO-_4qcZAw,2024-02-26,2024-02-26 21:54:18,1273446,6.14,4-Very popular (reached 50 M views),,,False,NaT,NaT,False,,NaT,,,,NaT,,,,NaT,,,,NaT,,,,NaT,,,,NaT,,
